test	genome_count	replicate	tool	seconds	ram_kb	input_length	output_length	output_md5sum
invariant site removal	10	1	Core-SNP-Filter	0.57	51304	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	1	snp-sites	0.36	15988	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	1	goalign 1 thread	4.71	362820	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	1	goalign 16 threads	5.04	347368	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	1	Core-SNP-Filter	0.00	2672	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	1	goalign 1 thread	0.00	10224	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	1	goalign 16 threads	0.11	10064	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	1	Core-SNP-Filter	0.98	50240	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	1	snp-sites	0.67	15944	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	1	goalign 1 thread	6.21	473632	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	1	goalign 16 threads	6.45	447336	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	1	Core-SNP-Filter	0.00	2696	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	1	goalign 1 thread	0.11	11164	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	1	goalign 16 threads	0.00	11216	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	1	Core-SNP-Filter	1.66	50316	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	1	snp-sites	1.10	15880	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	1	goalign 1 thread	8.94	710612	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	1	goalign 16 threads	8.76	536308	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	1	Core-SNP-Filter	0.00	2584	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	1	goalign 1 thread	0.00	13220	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	1	goalign 16 threads	0.02	12784	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
invariant site removal	56	1	Core-SNP-Filter	2.84	50376	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	1	snp-sites	1.93	16080	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	1	goalign 1 thread	12.73	804876	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	1	goalign 16 threads	12.93	763476	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	1	Core-SNP-Filter	0.00	2572	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	1	goalign 1 thread	0.01	13240	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	1	goalign 16 threads	0.01	13240	3095	2517	f8a60d5af49d01f6ba41a5826393db06
invariant site removal	100	1	Core-SNP-Filter	4.97	50348	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	1	snp-sites	3.47	16224	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	1	goalign 1 thread	20.65	1190284	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	1	goalign 16 threads	22.22	1122068	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	1	Core-SNP-Filter	0.00	2704	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	1	goalign 1 thread	0.02	15472	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	1	goalign 16 threads	0.02	15696	3844	3272	055cc1a61d617ccae2834dcd4c1da474
invariant site removal	180	1	Core-SNP-Filter	8.90	50532	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	1	snp-sites	6.50	16328	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	1	goalign 1 thread	39.07	1777444	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	1	goalign 16 threads	38.30	1784364	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	1	Core-SNP-Filter	0.01	2736	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	1	goalign 1 thread	0.04	20600	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	1	goalign 16 threads	0.04	19164	6139	5168	e18ec7bc541fe6350691cd44073231b5
invariant site removal	320	1	Core-SNP-Filter	15.65	50760	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	1	snp-sites	11.46	18096	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	1	goalign 1 thread	65.08	2912972	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	1	goalign 16 threads	72.33	2946876	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	1	Core-SNP-Filter	0.03	2692	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	1	goalign 1 thread	0.10	27516	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	1	goalign 16 threads	0.11	29464	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
invariant site removal	560	1	Core-SNP-Filter	27.25	50632	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	1	snp-sites	19.42	23800	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	1	goalign 1 thread	132.12	4885252	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	1	goalign 16 threads	124.94	4915824	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	1	Core-SNP-Filter	0.10	2688	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	1	goalign 1 thread	0.32	45312	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	1	goalign 16 threads	0.31	55832	14655	13055	907bf509f0e0aaa8817ede8e54538031
invariant site removal	1000	1	Core-SNP-Filter	48.46	52400	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	1	snp-sites	36.47	39568	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	1	goalign 1 thread	236.91	8028540	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	1	goalign 16 threads	245.55	8361640	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	1	Core-SNP-Filter	0.29	2624	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	1	goalign 1 thread	0.96	171700	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	1	goalign 16 threads	0.94	162616	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
